Alert ID,Ticker,Name,Description,Time
668434460,"BATS:FDN, 1D",,Negative Divergence Detected,2023-01-31T20:59:45.000Z
668413584,"BATS:FDN, 1D",,Negative Divergence Detected,2023-01-31T20:59:45.000Z
668467401,"BATS:SPYG, 1D",,Negative Divergence Detected,2023-01-31T20:58:55.000Z
668441442,"BATS:MOAT, 1D",,Negative Divergence Detected,2023-01-31T20:56:03.000Z
668461542,"BATS:PEJ, 1D",,Negative Divergence Detected,2023-01-31T20:55:35.000Z
668438786,"BATS:IVV, 1D",,Negative Divergence Detected,2023-01-31T20:54:40.000Z
668468804,"BATS:VIG, 1D",,Negative Divergence Detected,2023-01-31T20:54:40.000Z
668438595,"BATS:ITOT, 1D",,Negative Divergence Detected,2023-01-31T20:54:14.000Z
668471146,"BATS:XLP, 1D",,Negative Divergence Detected,2023-01-31T20:50:38.000Z
668470900,"BATS:XLI, 1D",,Negative Divergence Detected,2023-01-31T20:45:03.000Z
668387807,"BATS:SCHP, 1D",,Positive Divergence Detected,2023-01-31T20:19:58.000Z
668441570,"BATS:MOO, 1D",,Negative Divergence Detected,2023-01-31T19:42:29.000Z
668467263,"BATS:SPYD, 1D",,Negative Divergence Detected,2023-01-31T19:04:20.000Z
668439392,"BATS:IWN, 1D",,Negative Divergence Detected,2023-01-31T18:50:46.000Z
668441855,"BATS:NOBL, 1D",,Negative Divergence Detected,2023-01-31T18:41:57.000Z
668470775,"BATS:XLF, 1D",,Negative Divergence Detected,2023-01-31T18:41:37.000Z
668434644,"BATS:FIW, 1D",,Negative Divergence Detected,2023-01-31T17:54:18.000Z
668438056,"BATS:ITA, 1D",,Negative Divergence Detected,2023-01-31T17:20:05.000Z
668440696,"BATS:KBE, 1D",,Negative Divergence Detected,2023-01-31T17:19:12.000Z
668439235,"BATS:IWM, 1D",,Negative Divergence Detected,2023-01-31T16:42:08.000Z
668470411,"BATS:XLB, 1D",,Negative Divergence Detected,2023-01-31T15:50:27.000Z
668471538,"BATS:XLY, 1D",,Negative Divergence Detected,2023-01-31T15:44:12.000Z
668442020,"BATS:OIH, 1D",,Negative Divergence Detected,2023-01-31T15:44:04.000Z
668331659,"BATS:BLV, 1D",,Positive Divergence Detected,2023-01-31T15:24:47.000Z
668390211,"BATS:SPLB, 1D",,Positive Divergence Detected,2023-01-31T15:24:46.000Z
668336210,"BATS:HDV, 1D",,Positive Divergence Detected,2023-01-31T14:50:21.000Z
668370304,"BATS:INDA, 1D",,Positive Divergence Detected,2023-01-31T14:36:13.000Z
668468157,"BATS:UUP, 1D",,Negative Divergence Detected,2023-01-31T14:35:44.000Z
668332292,"BATS:DBC, 1D",,Positive Divergence Detected,2023-01-31T14:31:45.000Z
668336082,"BATS:GSG, 1D",,Positive Divergence Detected,2023-01-31T14:31:08.000Z
668389440,"BATS:SLV, 1D",,Positive Divergence Detected,2023-01-31T14:30:02.000Z
668332137,"BATS:CPER, 1D",,Positive Divergence Detected,2023-01-31T14:30:02.000Z
668468015,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-31T14:30:01.000Z
668372947,"BATS:IXJ, 1D",,Positive Divergence Detected,2023-01-31T14:30:01.000Z
668420934,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-31T14:30:01.000Z
668369369,"BATS:IHE, 1D",,Positive Divergence Detected,2023-01-31T14:30:01.000Z
668420630,"BATS:SUB, 1D",,Positive Divergence Detected,2023-01-30T20:33:48.000Z
668373743,"BATS:JNK, 1D",,Positive Divergence Detected,2023-01-30T20:30:57.000Z
668331659,"BATS:BLV, 1D",,Positive Divergence Detected,2023-01-30T17:31:37.000Z
668369369,"BATS:IHE, 1D",,Positive Divergence Detected,2023-01-30T17:26:14.000Z
668335949,"BATS:GOVT, 1D",,Positive Divergence Detected,2023-01-30T17:18:00.000Z
668468804,"BATS:VIG, 1D",,Negative Divergence Detected,2023-01-30T16:17:01.000Z
668461542,"BATS:PEJ, 1D",,Negative Divergence Detected,2023-01-30T15:12:11.000Z
668439235,"BATS:IWM, 1D",,Negative Divergence Detected,2023-01-30T15:11:16.000Z
668439392,"BATS:IWN, 1D",,Negative Divergence Detected,2023-01-30T15:10:25.000Z
668469412,"BATS:VO, 1D",,Negative Divergence Detected,2023-01-30T15:10:20.000Z
668471538,"BATS:XLY, 1D",,Negative Divergence Detected,2023-01-30T15:05:20.000Z
668440696,"BATS:KBE, 1D",,Negative Divergence Detected,2023-01-30T15:04:59.000Z
668467263,"BATS:SPYD, 1D",,Negative Divergence Detected,2023-01-30T15:03:47.000Z
668412498,"BATS:DOG, 1D",,Positive Divergence Detected,2023-01-30T14:48:12.000Z
668469179,"BATS:VNQ, 1D",,Negative Divergence Detected,2023-01-30T14:46:51.000Z
668470775,"BATS:XLF, 1D",,Negative Divergence Detected,2023-01-30T14:46:48.000Z
668470411,"BATS:XLB, 1D",,Negative Divergence Detected,2023-01-30T14:45:33.000Z
668441855,"BATS:NOBL, 1D",,Negative Divergence Detected,2023-01-30T14:36:10.000Z
668370304,"BATS:INDA, 1D",,Positive Divergence Detected,2023-01-30T14:32:25.000Z
668420934,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-30T14:31:33.000Z
668468015,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-30T14:31:33.000Z
668438056,"BATS:ITA, 1D",,Negative Divergence Detected,2023-01-30T14:30:04.000Z
668336444,"BATS:ICLN, 1D",,Positive Divergence Detected,2023-01-30T14:30:01.000Z
668336082,"BATS:GSG, 1D",,Positive Divergence Detected,2023-01-30T14:30:00.000Z
668390211,"BATS:SPLB, 1D",,Positive Divergence Detected,2023-01-30T14:30:01.000Z
668372947,"BATS:IXJ, 1D",,Positive Divergence Detected,2023-01-30T14:30:00.000Z
668332292,"BATS:DBC, 1D",,Positive Divergence Detected,2023-01-30T14:30:00.000Z
668332137,"BATS:CPER, 1D",,Positive Divergence Detected,2023-01-30T14:30:00.000Z
668420934,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-27T20:50:00.000Z
668468015,"BATS:UPST, 1D",,Negative Divergence Detected,2023-01-27T20:50:00.000Z
668420630,"BATS:SUB, 1D",,Positive Divergence Detected,2023-01-27T20:46:17.000Z
668428518,"BATS:AOM, 1D",,Negative Divergence Detected,2023-01-27T20:15:45.000Z
668469809,"BATS:VSS, 1D",,Negative Divergence Detected,2023-01-27T20:14:11.000Z
668471387,"BATS:XLV, 1D",,Negative Divergence Detected,2023-01-27T20:08:13.000Z
668467263,"BATS:SPYD, 1D",,Negative Divergence Detected,2023-01-27T19:23:31.000Z
668390211,"BATS:SPLB, 1D",,Positive Divergence Detected,2023-01-27T18:35:17.000Z
668439526,"BATS:IWO, 1D",,Negative Divergence Detected,2023-01-27T17:52:17.000Z
668433653,"BATS:EWS, 1D",,Negative Divergence Detected,2023-01-27T17:39:02.000Z
668332137,"BATS:CPER, 1D",,Positive Divergence Detected,2023-01-27T15:54:06.000Z
668461542,"BATS:PEJ, 1D",,Negative Divergence Detected,2023-01-27T15:16:14.000Z
668469552,"BATS:VONV, 1D",,Negative Divergence Detected,2023-01-27T15:10:16.000Z
668430408,"BATS:CIBR, 1D",,Negative Divergence Detected,2023-01-27T15:08:52.000Z
668440696,"BATS:KBE, 1D",,Negative Divergence Detected,2023-01-27T15:08:01.000Z
668439695,"BATS:IWP, 1D",,Negative Divergence Detected,2023-01-27T15:07:10.000Z
668441570,"BATS:MOO, 1D",,Negative Divergence Detected,2023-01-27T15:06:46.000Z
668441442,"BATS:MOAT, 1D",,Negative Divergence Detected,2023-01-27T15:06:36.000Z
668470411,"BATS:XLB, 1D",,Negative Divergence Detected,2023-01-27T15:05:36.000Z
668464665,"BATS:SH, 1D",,Positive Divergence Detected,2023-01-27T15:02:31.000Z
668389440,"BATS:SLV, 1D",,Positive Divergence Detected,2023-01-27T15:00:32.000Z
668472293,"BATS:XTN, 1D",,Negative Divergence Detected,2023-01-27T15:00:17.000Z
668432042,"BATS:ESGU, 1D",,Negative Divergence Detected,2023-01-27T15:00:01.000Z
668437900,"BATS:IOO, 1D",,Negative Divergence Detected,2023-01-27T14:52:39.000Z
668469298,"BATS:VNQI, 1D",,Negative Divergence Detected,2023-01-27T14:50:13.000Z
668439235,"BATS:IWM, 1D",,Negative Divergence Detected,2023-01-27T14:50:02.000Z
668438595,"BATS:ITOT, 1D",,Negative Divergence Detected,2023-01-27T14:50:01.000Z
668469412,"BATS:VO, 1D",,Negative Divergence Detected,2023-01-27T14:49:20.000Z
668462281,"BATS:RSP, 1D",,Negative Divergence Detected,2023-01-27T14:49:13.000Z
668471024,"BATS:XLK, 1D",,Negative Divergence Detected,2023-01-27T14:48:49.000Z
668470775,"BATS:XLF, 1D",,Negative Divergence Detected,2023-01-27T14:48:46.000Z
668438940,"BATS:IWB, 1D",,Negative Divergence Detected,2023-01-27T14:48:16.000Z
668417486,"BATS:PSQ, 1D",,Positive Divergence Detected,2023-01-27T14:47:41.000Z
668438786,"BATS:IVV, 1D",,Negative Divergence Detected,2023-01-27T14:47:36.000Z
668466185,"BATS:SKYY, 1D",,Negative Divergence Detected,2023-01-27T14:45:18.000Z
668434168,"BATS:EWY, 1D",,Negative Divergence Detected,2023-01-27T14:43:10.000Z
668461906,"BATS:QQQ, 1D",,Negative Divergence Detected,2023-01-27T14:43:10.000Z
668439392,"BATS:IWN, 1D",,Negative Divergence Detected,2023-01-27T14:41:33.000Z
668467401,"BATS:SPYG, 1D",,Negative Divergence Detected,2023-01-27T14:39:23.000Z
668434460,"BATS:FDN, 1D",,Negative Divergence Detected,2023-01-27T14:36:32.000Z
668413584,"BATS:FDN, 1D",,Negative Divergence Detected,2023-01-27T14:36:32.000Z
668439064,"BATS:IWF, 1D",,Negative Divergence Detected,2023-01-27T14:36:09.000Z
668336082,"BATS:GSG, 1D",,Positive Divergence Detected,2023-01-27T14:35:20.000Z
668440842,"BATS:LIT, 1D",,Negative Divergence Detected,2023-01-27T14:35:13.000Z
668440513,"BATS:JPST, 1D",,Negative Divergence Detected,2023-01-27T14:35:00.000Z
668470532,"BATS:XLC, 1D",,Negative Divergence Detected,2023-01-27T14:30:23.000Z
668370304,"BATS:INDA, 1D",,Positive Divergence Detected,2023-01-27T14:30:02.000Z
668471966,"BATS:XOP, 1D",,Negative Divergence Detected,2023-01-27T14:30:01.000Z
